method,target,target_type,stage_type,stage_index,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
Auto ABC,alpha,parameter,rejection_budget,3,10,0.10112458783655749,0.10129207695466906,0.10112458783655749,0.07223184845468393,0.004383965622444943,0.07263166067105015,0.06957641048145297,0.07591779244960861,0.006341381968155646,1.0,0.893808505650318,20000.0,
Auto ABC,beta,parameter,rejection_budget,3,10,0.006496139201822304,0.006511171577061993,0.006496139201822304,0.04359824967665975,0.0031282398156024438,0.043351812787978054,0.041119709062931754,0.045701660141310704,0.00458195107837895,1.0,0.08551270703681825,20000.0,
Auto ABC,sigma_eta,parameter,rejection_budget,3,10,0.04714020353305469,0.04719827028805339,0.04714020353305469,0.10475600785123265,0.0054824468851166555,0.10659524318268826,0.0989968182319706,0.10925139474651469,0.01025457651454409,1.0,0.34683378650980584,20000.0,
Auto ABC,long_run_log_variance,derived,rejection_budget,3,10,0.3547737280934699,0.38088906789265653,0.3547737280934699,0.03547737280934702,0.014610530408957864,0.03845143318316392,0.026440822233762807,0.04082764013902564,0.01438681790526283,1.0,12.652329189207354,20000.0,
Auto ABC,half_life_days,derived,rejection_budget,3,10,7.669547389021825,7.6852282150555755,7.669547389021825,0.5675509661982162,0.038275430382008375,0.5665671051605583,0.561223133416872,0.580570150062747,0.019347016645875015,1.0,54.58554247463379,20000.0,
Auto ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,1.0457127074001682,1.0476848325627748,1.0457127074001682,1.1328554330168494,0.07337260585085077,1.1418847646950443,1.1251421503774608,1.1601473350250513,0.035005184647590504,1.0,6.2390798410157196,20000.0,
Wasserstein ABC,alpha,parameter,rejection_budget,0,10,-0.4962442964522632,0.49687143552624813,0.4962442964522632,0.35446021175161657,0.018790250531327397,0.3530500824257132,0.34711177855823305,0.3687884831116192,0.02167670455338616,1.0,1.1851503540994621,2000.0,
Wasserstein ABC,beta,parameter,rejection_budget,0,10,-0.05146055935440811,0.05151564563550484,0.05146055935440811,0.3453728815732088,0.016849330347335177,0.34400724178635567,0.33941063446822706,0.3540598058081781,0.014649171339951028,1.0,0.12080716550518264,2000.0,
Wasserstein ABC,sigma_eta,parameter,rejection_budget,0,10,-0.024716104819654562,0.02862047500522003,0.024716104819654562,0.05492467737701012,0.033802926965439746,0.07065148877521595,0.025894672932592868,0.07850826322311213,0.05261359029051926,1.0,0.4115129232554179,2000.0,
Wasserstein ABC,long_run_log_variance,derived,rejection_budget,0,10,0.1651619370607154,0.16985218252057122,0.1651619370607154,0.016516193706071554,0.004178381469412563,0.017927680183652067,0.014354108841997983,0.018956732318145892,0.004602623476147909,1.0,1.1067509281176777,2000.0,
Wasserstein ABC,half_life_days,derived,rejection_budget,0,10,-5.548282142276805,5.5562565687950185,5.548282142276805,0.41057610454260773,0.023212069854754016,0.40785677973533846,0.399051010821751,0.41990869355183336,0.020857682730082372,1.0,22.220571886317714,2000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,rejection_budget,0,10,-0.3804052861773118,0.38452307875280456,0.3804052861773118,0.4121057266920879,0.06408899590764451,0.4258897009611038,0.36268373981599344,0.462890048469668,0.10020630865367458,1.0,1.7801359300862138,2000.0,
Wasserstein ABC,alpha,parameter,rejection_budget,1,10,-0.49511705521136007,0.49558896475767455,0.49511705521136007,0.35365503943668564,0.016279928455920474,0.35435201642068287,0.34416479688762486,0.3674855956095035,0.023320798721878644,1.0,1.1554815380894963,5000.0,
Wasserstein ABC,beta,parameter,rejection_budget,1,10,-0.051442403880775645,0.051489048714757506,0.051442403880775645,0.3452510327568835,0.015501306503717092,0.3446716321376587,0.3355719514737266,0.357890338251408,0.022318386777681387,1.0,0.11757406160797745,5000.0,
Wasserstein ABC,sigma_eta,parameter,rejection_budget,1,10,-0.023100970696999058,0.024072926144019176,0.023100970696999058,0.05133549043777569,0.015861355059297668,0.047803098643298056,0.037369251115877626,0.06531698101251444,0.027947729896636818,1.0,0.42100621192952703,5000.0,
Wasserstein ABC,long_run_log_variance,derived,rejection_budget,1,10,0.172738486587866,0.17343373962817424,0.172738486587866,0.017273848658786617,0.0016352957352212957,0.017485747565941984,0.01620879913198038,0.018091343985394796,0.0018825448534144154,1.0,1.08708749738491,5000.0,
Wasserstein ABC,half_life_days,derived,rejection_budget,1,10,-5.580538509070131,5.591051225979802,5.580538509070131,0.4129630944405777,0.02673183990000145,0.414398789020121,0.39830132699347554,0.433863203329229,0.03556187633575347,1.0,19.06114305163173,5000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,rejection_budget,1,10,-0.3736750429896125,0.37462888206760997,0.3736750429896125,0.4048146299054137,0.030508258581807716,0.39632317386528904,0.38444007515944545,0.4000700089432321,0.01562993378378663,1.0,1.7951016733836678,5000.0,
Wasserstein ABC,alpha,parameter,rejection_budget,2,10,-0.4936116145063272,0.4939220093711963,0.4936116145063272,0.3525797246473766,0.013182079279716007,0.3535519601188197,0.3429630719359128,0.36342832266114267,0.020465250725229867,1.0,1.1568176334392448,10000.0,
Wasserstein ABC,beta,parameter,rejection_budget,2,10,-0.05125518008389026,0.051287194606875655,0.05125518008389026,0.3439944972073171,0.012817923633705814,0.3440822853127896,0.3348576107143563,0.3548492298054546,0.019991619091098256,1.0,0.1180261608920131,10000.0,
Wasserstein ABC,sigma_eta,parameter,rejection_budget,2,10,-0.025050907594586336,0.02546218354052767,0.025050907594586336,0.05566868354352519,0.01067664639604589,0.05793639663329636,0.04867362287637804,0.06002654213472924,0.011352919258351198,1.0,0.42305066405619396,10000.0,
Wasserstein ABC,long_run_log_variance,derived,rejection_budget,2,10,0.16826293859507135,0.16879372278273072,0.16826293859507135,0.016826293859507145,0.0014099028579799033,0.016472497976966344,0.015813188400456927,0.017631601209483497,0.0018184128090265698,1.0,1.1087422992008764,10000.0,
Wasserstein ABC,half_life_days,derived,rejection_budget,2,10,-5.548216618611326,5.5551251273865825,5.548216618611326,0.41057125575326403,0.02160393628115242,0.4076703421446579,0.4007128874926811,0.4236745459371801,0.022961658444499045,1.0,18.878275104526928,10000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,rejection_budget,2,10,-0.37735028115495367,0.3778912512498131,0.37735028115495367,0.4087961379178665,0.023081839284971373,0.4064438030092402,0.3901251184904459,0.425054112068243,0.03492899357779711,1.0,1.867987037434857,10000.0,
Wasserstein ABC,alpha,parameter,rejection_budget,3,10,-0.4934210836877311,0.4936511331695616,0.4934210836877311,0.3524436312055222,0.011345817754075654,0.35055669607951434,0.34635595841317346,0.3558988471983978,0.009542888785224357,1.0,1.1659915218538306,20000.0,
Wasserstein ABC,beta,parameter,rejection_budget,3,10,-0.05119319307348117,0.051216569049167715,0.05119319307348117,0.3435784770032293,0.010945813117802924,0.34186525338970597,0.3381162763355813,0.3461404572087425,0.008024180873161202,1.0,0.11823357317487679,20000.0,
Wasserstein ABC,sigma_eta,parameter,rejection_budget,3,10,-0.023920693092835843,0.02410070418311134,0.023920693092835843,0.05315709576185742,0.006887050364061836,0.0531334122406987,0.04855171154108692,0.05643690631918601,0.00788519477809909,1.0,0.423215202224054,20000.0,
Wasserstein ABC,long_run_log_variance,derived,rejection_budget,3,10,0.16618003474434778,0.16655259493956018,0.16618003474434778,0.016618003474434796,0.001173612341204921,0.016329939422442867,0.015714159127049245,0.017426439644040108,0.0017122805169908634,1.0,1.1004783956433708,20000.0,
Wasserstein ABC,half_life_days,derived,rejection_budget,3,10,-5.528706183014169,5.534343537896546,5.528706183014169,0.40912747217485307,0.01948000200339597,0.40749272043154894,0.39776470989514523,0.4156696524197599,0.017904942524614664,1.0,18.903654996574794,20000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,-0.37329355936766884,0.3735529686142537,0.37329355936766884,0.40440135598164134,0.015894587478087426,0.4009264776858634,0.39772918241378624,0.40666642085904653,0.008937238445260287,1.0,1.8583435665432535,20000.0,
ABC-SMC,alpha,parameter,smc_population,0,10,-0.4178717898952624,0.4179977881856374,0.4178717898952624,0.29847984992518756,0.007726846689228044,0.29895006925234924,0.2948374370943606,0.3030459440049233,0.008208506910562685,1.0,1.184573985392312,2000.0,55.002443620003035
ABC-SMC,beta,parameter,smc_population,0,10,-0.04552781422755975,0.0455470215703516,0.04552781422755975,0.3055558001849647,0.00935675631470861,0.3103359788305126,0.30112643568793607,0.3121930062974544,0.011066570609518322,1.0,0.11748952886490045,2000.0,55.002443620003035
ABC-SMC,sigma_eta,parameter,smc_population,0,10,-0.017156282328224,0.018447074857845917,0.017156282328224,0.03812507184049778,0.015879613538096127,0.04444866658838771,0.024391817210917235,0.04815307880051732,0.023761261589600086,1.0,0.40370489365673573,2000.0,55.002443620003035
ABC-SMC,long_run_log_variance,derived,smc_population,0,10,0.16595648170906063,0.18987126124687523,0.16595648170906063,0.01659564817090608,0.009723706441378427,0.01582346896504562,0.007988532597778304,0.022753550569672827,0.014765017971894523,1.0,8.25141029514341,2000.0,55.002443620003035
ABC-SMC,half_life_days,derived,smc_population,0,10,-5.0605553984037535,5.068442803519382,5.0605553984037535,0.3744840419103219,0.02204774606719513,0.3741417347711091,0.3662054699581905,0.39229332374494374,0.026087853786753268,1.0,19.40374090031123,2000.0,55.002443620003035
ABC-SMC,stationary_log_volatility_variance,derived,smc_population,0,10,-0.3674160486324921,0.3679004556615902,0.3674160486324921,0.3980340526852,0.021551784047977918,0.40138118529311273,0.3874489752758699,0.4156255309923136,0.028176555716443674,1.0,1.501636601763439,2000.0,55.002443620003035
ABC-SMC,alpha,parameter,smc_population,1,10,-0.41668968325684547,0.41699330114784616,0.41668968325684547,0.2976354880406039,0.011978842589243503,0.2950909272131991,0.2914859532455731,0.30409529790372936,0.012609344658156274,1.0,1.1731693096924194,3973.5,55.002443620003035
ABC-SMC,beta,parameter,smc_population,1,10,-0.04094576274927764,0.04096772734843257,0.04094576274927764,0.2748037768407895,0.009489248787365978,0.2717690632075529,0.2687185520388553,0.27817948380018565,0.009460931761330338,1.0,0.11639951640585142,3973.5,55.002443620003035
ABC-SMC,sigma_eta,parameter,smc_population,1,10,0.03607959013269579,0.03623796071373131,0.03607959013269579,0.08017686696154618,0.007927300866070686,0.07996589155509462,0.0736275637983018,0.0860692740976449,0.012441710299343087,1.0,0.3314336687293836,3973.5,55.002443620003035
ABC-SMC,long_run_log_variance,derived,smc_population,1,10,-0.31257847249970216,0.32342320577183215,0.31257847249970216,0.03125784724997025,0.008754217118040756,0.03181964251287524,0.024918294327142584,0.0383777832090351,0.013459488881892516,1.0,7.962090717493619,3973.5,55.002443620003035
ABC-SMC,half_life_days,derived,smc_population,1,10,-4.6674773231014415,4.680297899367216,4.6674773231014415,0.34539603578515005,0.027003607138361314,0.3448935950797922,0.33126703667786594,0.36085298852235415,0.0295859518444882,1.0,20.768593604600888,3973.5,55.002443620003035
ABC-SMC,stationary_log_volatility_variance,derived,smc_population,1,10,-0.20376158034122166,0.20425143866691875,0.20376158034122166,0.22074171203632348,0.016144072858817627,0.2229580512964076,0.21147947398625497,0.23188010406284515,0.02040063007659018,1.0,1.221758606066876,3973.5,55.002443620003035
ABC-SMC,alpha,parameter,smc_population,2,10,-0.3925432257069016,0.39294291186694164,0.3925432257069016,0.28038801836207256,0.013340727925937754,0.280900965339693,0.26987942333685583,0.2886964412643653,0.01881701792750945,1.0,1.2056554667852282,7121.6,55.002443620003035
ABC-SMC,beta,parameter,smc_population,2,10,-0.034624023321706235,0.03466630067108977,0.034624023321706235,0.2323759954476928,0.012108285382998647,0.23451810144458807,0.22616232090120297,0.23599781819419252,0.009835497292989548,1.0,0.115020271883958,7121.6,55.002443620003035
