beta_regime,sigma_eta_regime,method,target,target_type,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
0.9,0.3,Wasserstein ABC,beta,parameter,5,0.00041008989554092157,0.0004996923397396283,0.0004588468440130944,0.0030795090202221094,0.0014847241039768666,0.0036250932832424436,0.002420479264603017,0.003991730777939262,0.0015712515133362451,1.0,0.12108141120248361,10000.0,
0.9,0.3,Wasserstein ABC,sigma_eta,parameter,5,-0.03504210414798573,0.03505041245735497,0.03504210414798573,0.0778713425510794,0.00189598391738264,0.07793758801421784,0.07683578955260358,0.07950017046954108,0.002664380916937506,1.0,0.42659997160761165,10000.0,
0.9,0.3,Wasserstein ABC,long_run_log_variance,derived,5,-0.07629672492909342,0.08110700718843915,0.07629672492909342,0.007629672492909342,0.0030764353970134267,0.008444178981760331,0.005981996255204259,0.008904019721862255,0.0029220234666579963,1.0,1.161417459068875,10000.0,
0.9,0.3,Wasserstein ABC,half_life_days,derived,5,1.698366574600864,1.699984015665425,1.698366574600864,0.25815697314300456,0.012599570932720355,0.26658502783481125,0.24991691060841906,0.26702632725560116,0.017109416647182102,1.0,21.453075070412098,10000.0,
0.9,0.3,Wasserstein ABC,stationary_log_volatility_variance,derived,5,0.04201650359280471,0.04246955856927967,0.04201650359280471,0.08870150758480991,0.014602730991838031,0.09481972892219555,0.07590302266945377,0.100031872285746,0.024128849616292233,1.0,1.7364043031897936,10000.0,
0.9,0.3,ABC-SMC,alpha,parameter,5,-0.09199550756388511,0.09585278862130046,0.09199550756388511,0.0657110768313465,0.021496672656371577,0.05274890647432521,0.05011514625700249,0.08000295279336021,0.029887806536357725,1.0,0.9823370788925889,20841.0,48.50511666000093
0.9,0.3,ABC-SMC,beta,parameter,5,-0.00393367069626509,0.004854560396789466,0.003971643999557295,0.026655328856089223,0.020946695507430987,0.02563758799047329,0.013603239857307008,0.03951629627301848,0.025913056415711476,1.0,0.10024486383797923,20841.0,48.50511666000093
0.9,0.3,ABC-SMC,sigma_eta,parameter,5,0.018312396458628543,0.03011731407605047,0.02854054612685635,0.06342343583745855,0.023894034838031597,0.05904764631669162,0.056823053712376684,0.08055387202277979,0.023730818310403107,1.0,0.23998674989535473,20841.0,48.50511666000093
0.9,0.3,ABC-SMC,long_run_log_variance,derived,5,-0.6960544113145541,0.7270311675419249,0.6960544113145541,0.06960544113145542,0.023474074813217862,0.07259043426371684,0.06331043789795174,0.08898599805763112,0.02567556015967938,1.0,6.316985661874343,20841.0,48.50511666000093
0.9,0.3,ABC-SMC,half_life_days,derived,5,0.43323612963290403,0.5632257378061502,0.4652211845642249,0.0707150591899327,0.05395373332389056,0.06941531881514389,0.0366468712630103,0.08133999576923252,0.044693124506222225,1.0,10.795900140827637,20841.0,48.50511666000093
0.9,0.3,ABC-SMC,stationary_log_volatility_variance,derived,5,0.06150363735095932,0.09844439296826557,0.08990581089817125,0.18980115634058364,0.09465466523604026,0.17396280260506303,0.14990036038806293,0.1991893017561465,0.049288941368083566,1.0,0.5184876177518758,20841.0,48.50511666000093
