seed,N,epsilon,accepted,alpha_mean,alpha_abs_error,beta_mean,beta_abs_error,sigma_eta_mean,sigma_eta_abs_error
8,20000,1.0,1101,-0.9572405220556625,0.45724052205566246,0.9073016039609952,0.042698396039004716,0.3380068812442258,0.0380068812442258
8,20000,0.5,81,-0.8559098597638617,0.3559098597638617,0.9134069899878154,0.03659301001218451,0.3479327501245741,0.0479327501245741
8,20000,0.2,3,-0.6521379077632963,0.15213790776329628,0.9344255748781426,0.01557442512185736,0.31019226868679645,0.010192268686796457
8,20000,0.1,0,,,,,,
9,1000,2.0,445,-1.0586767552086551,0.5586767552086551,0.931688825944266,0.018311174055733903,0.24668730701357314,0.05331269298642685
9,1000,1.0,53,-1.0216089872540606,0.5216089872540606,0.9018168096220283,0.048183190377971696,0.34498698065572114,0.044986980655721154
9,1000,0.5,3,-0.8488417136826586,0.3488417136826586,0.914551012980341,0.03544898701965893,0.34170712801233916,0.04170712801233917
9,1000,0.2,1,-0.9445390872849582,0.44453908728495817,0.9036873281705585,0.04631267182944143,0.39169953657599305,0.09169953657599306
9,1000,0.1,0,,,,,,
9,2000,2.0,924,-1.0489955962569706,0.5489955962569706,0.9309495690188214,0.019050430981178534,0.24780416829357177,0.05219583170642822
9,2000,1.0,119,-0.9682455591995387,0.4682455591995387,0.9064458192869093,0.043554180713090695,0.34521444867864143,0.04521444867864144
9,2000,0.5,9,-0.7714666798430853,0.27146667984308526,0.9222901557729934,0.027709844227006508,0.3278490024569069,0.027849002456906913
9,2000,0.2,1,-0.9445390872849582,0.44453908728495817,0.9036873281705585,0.04631267182944143,0.39169953657599305,0.09169953657599306
9,2000,0.1,0,,,,,,
9,5000,2.0,2360,-1.0477354179431002,0.5477354179431002,0.931560690027628,0.018439309972371976,0.24417796576063003,0.05582203423936996
9,5000,1.0,301,-0.9840505580404408,0.48405055804044084,0.9043673567871449,0.045632643212855095,0.33927329027581954,0.03927329027581955
9,5000,0.5,21,-0.7393398207636738,0.23933982076367377,0.9255493299121951,0.024450670087804882,0.33305764105808006,0.03305764105808007
9,5000,0.2,1,-0.9445390872849582,0.44453908728495817,0.9036873281705585,0.04631267182944143,0.39169953657599305,0.09169953657599306
9,5000,0.1,0,,,,,,
9,10000,2.0,4717,-1.0470943129136707,0.5470943129136707,0.9317078672100557,0.018292132789944238,0.24226267451457906,0.05773732548542093
9,10000,1.0,594,-0.975055559146058,0.475055559146058,0.9053409768725551,0.04465902312744485,0.33770045201538024,0.03770045201538025
9,10000,0.5,38,-0.8410892501806024,0.34108925018060243,0.9147986924463399,0.03520130755366002,0.34285266041262696,0.042852660412626975
9,10000,0.2,1,-0.9445390872849582,0.44453908728495817,0.9036873281705585,0.04631267182944143,0.39169953657599305,0.09169953657599306
9,10000,0.1,0,,,,,,
9,20000,2.0,9294,-1.0474400502856556,0.5474400502856556,0.9318069945809108,0.018193005419089192,0.242207069008892,0.057792930991107994
9,20000,1.0,1132,-0.9737435581469319,0.4737435581469319,0.9058461407860982,0.0441538592139018,0.33912489267872165,0.03912489267872166
9,20000,0.5,72,-0.8264207878832273,0.32642078788322726,0.916046154771904,0.03395384522809597,0.3389466840368576,0.03894668403685764
9,20000,0.2,1,-0.9445390872849582,0.44453908728495817,0.9036873281705585,0.04631267182944143,0.39169953657599305,0.09169953657599306
9,20000,0.1,0,,,,,,
