alpha,beta,sigma_eta,distance,weight
-0.5116396887173649,0.9547107226394367,0.4657753062024175,3.112454953738914,0.0017066004313918753
-0.5789559622684393,0.9445842946490923,0.436135894401285,2.6489255536735294,0.0015221047027470299
-0.6418116805483498,0.9363037233185961,0.46117245066990753,4.437903265548185,0.0015800762564754697
-0.8569049736747358,0.9293674658557219,0.4715724049997665,4.559383991717973,0.0017540909741579215
-0.5534924747271294,0.9663453489692542,0.4149924720748208,2.841615803095614,0.0017288324882700251
-0.7077517582898643,0.9436993444615857,0.3349088336843262,4.412880145600294,0.002076736018083447
-1.1750227843104997,0.8704870448301122,0.4667249075861061,4.55350715106439,0.004468945382146291
-0.5981613607792438,0.9326335835488881,0.48513326981551813,3.3698633698524665,0.0017353918760967142
-0.6171749895434617,0.9539308222291659,0.4140702508753743,3.449410509262539,0.0015694496690952886
-0.3391052412918196,0.9781082917364606,0.3615633639765575,3.1595501654956073,0.0021920434391264386
-0.400082352534072,0.9552368650370424,0.4989066794865187,2.6928597399720937,0.0021290181837314587
-0.7133288578530778,0.9245531553146679,0.43030271851152874,4.346421516231951,0.0016184999528161298
-0.31978809684675863,0.9719271819494327,0.3465111076767471,2.854109846044303,0.0021367327144628835
-1.057441785863451,0.9143041612585822,0.45361755250217894,4.083328816312858,0.0021315213289873473
-0.34817949538474413,0.9618801599558661,0.3226795148302716,4.183877922410783,0.002160726203761478
-0.3190137982394168,0.977580045429336,0.4383511486308133,3.805480899568212,0.002256060227159924
-0.4606153981458825,0.9635675011672744,0.2830660034110868,4.002609798807731,0.0026671760310340107
-0.6029251639947658,0.9489754264735957,0.34178430711119645,2.436350145635122,0.0018934569236089345
-0.3923759704712477,0.9459435675060315,0.437784302882124,4.493434470094278,0.0016657355762375156
-0.6210757683331293,0.9575427982426202,0.4976964266831377,4.545912760784494,0.001996371600155735
-0.9394240703819798,0.925242686140364,0.49005024591572405,4.0765322954441885,0.0019917480130365846
-0.41342863577971145,0.9505689024108507,0.45360062623376723,3.7677678077410395,0.001699688281744588
-0.8163216535928869,0.9443044933552068,0.47912230324914334,2.5320000329229044,0.0017998721647005625
-0.7267400201109413,0.9517817762123373,0.4475137660327809,4.041803194113231,0.0016420120480194896
-0.7373555378553205,0.9433911483914937,0.4714839382050818,3.9553398956454373,0.001669952119785556
-0.2946533737091116,0.9685321264252118,0.34630124066331036,2.981202015860928,0.00211501073435808
-0.9061936163026849,0.9180783192068156,0.4942422597468024,1.7741355000137673,0.0020300903239352974
-0.44829140298197573,0.9614401325779697,0.37499266446897056,1.9217486674436948,0.001739381226818729
-0.7862611142410709,0.9323310369873213,0.44091670228744534,3.9800067280213187,0.0015999338879368408
-0.4000005023335318,0.9490018392174133,0.438095971961693,4.265549552214336,0.0016586053575623997
-0.20728907924981274,0.9719959493936244,0.315588616639166,3.1248196940820816,0.0025780741945928384
-0.7630495569404647,0.9373267847935431,0.4584934269528351,3.127117664736141,0.0016121397249317245
-0.6740797906306123,0.9492181380849098,0.3776508180702648,4.2959806182741085,0.0016760794191696853
-0.6969270551215456,0.9516110390021104,0.4463720613528256,3.565729999502509,0.001613782266355836
-0.6438846856140816,0.9377017434133574,0.3951456944248254,4.5687352429156665,0.0015810191024901046
-0.3654879296538779,0.961966239499771,0.39908119631689704,4.123818990370407,0.0017578852863014045
-0.8252200687071645,0.9341149268681351,0.48190898937593546,4.4004101253344095,0.0017741675443144523
-0.7895815387766352,0.941451753660276,0.49612766313052814,3.136149421842473,0.0018798274839044197
-0.5783497862377056,0.9426809338008049,0.40679903486605584,4.103574621910328,0.0015307281723029487
-0.7025674282569563,0.9513252134270871,0.43634751723653614,2.8645519870103815,0.0015959053468496407
-0.513732177709851,0.9631603905340945,0.4516607018754911,3.3626137095714297,0.0017560291309733115
-0.7523810002090889,0.9405560959096343,0.42472207083597513,3.2349626511284897,0.00156843605988095
-0.25753888741909003,0.9642775563146841,0.39383561368694486,4.547318089100626,0.0019680854048080673
-0.28374038011436054,0.9814869472563335,0.3408285023726788,4.0143222936052,0.002473203797944401
-0.40105477910039955,0.9419322577438524,0.34190266025475674,4.513847450101651,0.001988008280506552
-0.47282829751650446,0.9538987557004581,0.33296340132183716,4.3581763569946945,0.0019574580804674743
-0.8359833526417204,0.9337262705907554,0.3617056045426958,4.60921708857676,0.002007135566520806
-0.26545118744054247,0.9721225269366447,0.3455931778862211,3.7953889644095433,0.0022291196706147056
-1.4421612407191753,0.8927063518238184,0.41431265287746144,4.34231375975432,0.0047987018174796645
-0.4553566865024181,0.9620255080466378,0.32465591668534133,1.8111797649728618,0.0020811358758728964
-0.2864439850320201,0.9811898359712274,0.3117311514538853,4.574448692360423,0.0026915007418702253
-0.403206787346282,0.9751356794735896,0.3737701865203071,2.1737709700841523,0.0020137464505319553
-1.3463817113945604,0.9114405202797213,0.4577395516354692,4.391933001038662,0.0032962347364034876
-0.4636813083287532,0.9516223168192173,0.3607748040529821,4.466539697718417,0.0017434493263221863
-0.30519930061580336,0.9630833960903191,0.36236739836844406,0.6104255126640391,0.0019492217600264594
-0.2210948712640894,0.9805317535559178,0.3292196483778148,2.6121262656130737,0.0026366437997984676
-0.5615058354931617,0.9387900568405124,0.34754213646723064,3.703252600421082,0.0018758109401708402
-0.5949217473328968,0.9416361779450089,0.4413061733450217,4.280048990130054,0.001524746313904153
-0.8730377354475972,0.9122454820667331,0.4160005610163628,4.381018998279799,0.0019368666217524783
-0.5024339276180568,0.9623808986264026,0.40789757043494257,3.2205469032121457,0.0016629026633452006
-0.777099544729323,0.9346230430069667,0.42407249972681,4.110637783018008,0.0015903000367993379
-0.5809577875473277,0.9483824097912942,0.46967315870469895,2.5182196234637986,0.0016499099618514084
-0.7647471262237411,0.9386697345317269,0.4934150283490964,4.136788047694719,0.001817525536302699
